short_name,long_name,overall,nationality_name,shooting,passing,defending
L. Hyam,Luke Hyam,68,England,50.0,67.0,66.0
P. Ekeng,Patrick Ekeng,68,Cameroon,59.0,64.0,65.0
D. Stahl,Dominik Stahl,68,Germany,61.0,58.0,68.0
J. McInerney,Jack McInerney,68,United States,67.0,54.0,39.0
L. Gutiérrez,Luis Alberto Gutiérrez Herrera,68,Bolivia,47.0,45.0,68.0
P. Zulu,Philani Zulu,68,South Africa,73.0,62.0,60.0
D. Watari,渡 大生,68,Japan,67.0,55.0,31.0
S. Guzmán,Sebastián Felipe Guzmán Mendoza,68,Colombia,49.0,64.0,62.0
S. Ndlovu,Siphesihle Ndlovu,68,South Africa,59.0,64.0,51.0
P. Martínez,Pablo Daniel Martínez Morales,68,Paraguay,59.0,60.0,35.0
K. Osako,大迫 圭介,68,Japan,,,
A. Turgeman,Alon Turgeman,68,Israel,66.0,43.0,26.0
K. Kitagawa,北川 航也,68,Japan,64.0,49.0,36.0
Y. Kimoto,木本 恭生,68,Japan,42.0,55.0,67.0
G. Tello,Gary Felipe Tello Mery,68,Chile,63.0,63.0,23.0
K. Fukai,深井 一希,68,Japan,53.0,65.0,59.0
R. Harper,Rekeem Jordan Harper,68,England,53.0,65.0,60.0
D. Suga,菅 大輝,68,Japan,56.0,66.0,58.0
A. Badji,Aliou Badji,68,Senegal,67.0,41.0,26.0
A. Mehremić,Adi Mehremić,68,Bosnia and Herzegovina,27.0,50.0,66.0
J. Bornstein,Jonathan Rey Bornstein,68,United States,54.0,61.0,65.0
M. Wynne,Marvell Wynne,68,United States,51.0,51.0,63.0
E. Hadžić,Eldin Hadzic Osmanovic,68,Bosnia and Herzegovina,65.0,61.0,24.0
D. Vujičević,Dario Vujičević,68,Croatia,62.0,66.0,55.0
R. Ely,Rodrigo Ely,68,Italy,31.0,39.0,71.0
J. Jørgensen,Joackim Jørgensen,68,Norway,59.0,62.0,63.0
Q. Antipas,Quincy Antipas,68,Zimbabwe,64.0,58.0,27.0
M. Vatsadze,Mate Vatsadze,68,Georgia,67.0,49.0,26.0
C. Raimondi,Cristian Raimondi,68,Italy,54.0,63.0,68.0
D. Gerken,Dean Jeffrey Gerken,68,England,,,
Wilson,Wilson Rodrigues Fonseca,68,Brazil,68.0,59.0,46.0
D. Toledo,José David Toledo Bosquez,68,Mexico,57.0,66.0,62.0
S. MacLean,Steven George MacLean,68,Scotland,64.0,58.0,36.0
S. Romero,Sebastián Ariel Romero,68,Argentina,65.0,73.0,53.0
A. Pelletieri,Agustín Daniel Pelletieri,68,Argentina,54.0,63.0,67.0
S. Taylor,Stuart Taylor,68,England,,,
O. Şam,Orhan Şam,68,Turkey,38.0,56.0,70.0
C. Heimeroth,Christofer Heimeroth,68,Germany,,,
D. Martin,David Edward Martin,68,England,,,
F. Özçal,Furkan Özçal,68,Turkey,60.0,65.0,51.0
F. Al Qarni,Fawaz Balqassem Al Qarni,68,Saudi Arabia,,,
L. de Sa,Lesly de Sa,68,Netherlands,51.0,57.0,27.0
Michel,Michel Souza da Silva,68,Brazil,70.0,49.0,31.0
K. Zengin,Kerim Zengin,68,Turkey,59.0,60.0,64.0
Yoo Hyun,유현 刘贤,68,Korea Republic,,,
C. D'Ulivo,Cédric D'Ulivo,68,France,41.0,61.0,67.0
M. Schulze,Michael Schulze,68,Germany,45.0,60.0,67.0
Seoane,Diego Seoane Pérez,68,Spain,47.0,58.0,67.0
S. Sutter,Scott Sutter,68,Switzerland,52.0,63.0,63.0
A. Marin,Anthony Marin,68,France,39.0,49.0,67.0
Lee Sang Ho,이상호 李相湖,68,Korea Republic,65.0,63.0,50.0
Park Hee Chul,박희철 朴熙哲,68,Korea Republic,48.0,63.0,64.0
Kim Chang Soo,김창수 金昌洙,68,Korea Republic,59.0,62.0,65.0
Júlio César,Júlio César Coelho de Moraes Júnior,68,Brazil,64.0,69.0,65.0
A. Cuvillier,Alexandre Cuvillier,68,France,59.0,68.0,37.0
G. N'Goyi,Granddi N'Goyi,68,Congo DR,31.0,58.0,66.0
D. Dervite,Dorian Dervite,68,France,35.0,52.0,69.0
D. Moxey,Dean William Moxey,68,England,54.0,60.0,67.0
F. Narsingh,Furdjel Narsingh,68,Netherlands,51.0,65.0,31.0
E. Pomazan,Evgeniy Pomazan,68,Russia,,,
K. Higginbotham,Kallum Michael Higginbotham,68,England,63.0,66.0,20.0
N. Vidrio,Néstor Vicente Vidrio Serrano,68,Mexico,52.0,62.0,68.0
Cho Dong Gun,조동건 赵东建,68,Korea Republic,59.0,55.0,25.0
A. Sarota,Adam Sarota,68,Australia,58.0,68.0,59.0
G. Aguirre,Gaddi Axel Aguirre Ledesma,68,Mexico,44.0,51.0,69.0
L. Amos,Luke Amos,68,England,54.0,66.0,63.0
M. Ogbu,Moses Ogbu,68,Nigeria,66.0,58.0,42.0
J. Lawrence-Gabriel,Jordan Lawrence-Gabriel,68,England,34.0,52.0,63.0
M. Šarkić,Matija Šarkić,68,Montenegro,,,
Hugo Rama,Hugo José Rama Calviño,68,Spain,66.0,68.0,49.0
R. Charles-Cook,Regan Evans Charles-Cook,68,Grenada,61.0,61.0,53.0
E. Reitan,Erlend Dahl Reitan,68,Norway,46.0,58.0,62.0
Ian González,Ian González Nieto,68,Spain,72.0,53.0,34.0
Ramon Lopes,Ramon Lopes de Freitas,68,Brazil,71.0,63.0,34.0
B. Smith,Bradley Shaun Smith,68,Australia,49.0,60.0,62.0
A. Kamara,Alhaji Kamara,68,Sierra Leone,64.0,52.0,32.0
L. Guwara,Leon Guwara,68,Gambia,34.0,57.0,63.0
R. Hatsuse,初瀬 亮,68,Japan,49.0,66.0,62.0
H. Al Omari,Hassan Al Omari,68,Saudi Arabia,62.0,66.0,46.0
R. Ballivián,Ramiro Daniel Ballivian,68,Bolivia,62.0,57.0,63.0
S. Saucedo,Sebastián Saucedo Mondragón,68,United States,65.0,64.0,42.0
Wilsson Rosito,Wilson Allan Rosan Dourado,68,Brazil,56.0,68.0,31.0
E. Sabo,Erik Sabo,68,Slovakia,65.0,65.0,57.0
D. Mikanović,Dino Mikanović,68,Croatia,40.0,54.0,61.0
Victor Braga,Victor Hugo Silva Braga,68,Brazil,,,
F. Porath,Finn-Dominik Porath,68,Germany,61.0,67.0,58.0
J. Sainati,Joris Sainati,68,France,31.0,53.0,65.0
Ha Tae Goon,하태균 河太均,68,Korea Republic,65.0,52.0,29.0
L. Broxham,Leigh Michael Broxham,68,Australia,56.0,55.0,64.0
Qin Sheng,秦升,68,China PR,50.0,55.0,63.0
Zou Zheng,邹正,68,China PR,53.0,63.0,67.0
D. Hylton,Danny Hylton,68,England,66.0,57.0,46.0
F. Harek,Féthi Harek,68,Algeria,36.0,61.0,69.0
T. Kainz,Tobias Kainz,68,Austria,58.0,66.0,65.0
C. Stockton,Cole John Stockton,68,England,69.0,53.0,33.0
P. Frick,Per Frick,68,Sweden,65.0,58.0,36.0
A. Grant,Alexander Grant,68,Australia,36.0,46.0,67.0
M. Marras,Manuel Marras,68,Italy,59.0,64.0,21.0
F. Kom,Franck Kom,68,Cameroon,47.0,57.0,65.0
E. Henty,Ezekiel Isoken Henty,68,Nigeria,67.0,51.0,29.0
K. Pallesen,Kristoffer Pallesen,68,Denmark,37.0,59.0,60.0
E. Rakip,Erdal Rakip,68,North Macedonia,59.0,64.0,62.0
F. Heerkens,Freek Heerkens,68,Netherlands,36.0,56.0,69.0
F. Kent,Frankie Kent,68,England,30.0,48.0,67.0
O. Custodio,Olivier Custodio Da Costa,68,Switzerland,49.0,70.0,63.0
S. Svendsen,Sander Svendsen,68,Norway,65.0,62.0,36.0
C. Malele,Cephas Malele,68,Switzerland,66.0,47.0,32.0
F. Lohkemper,Felix Lohkemper,68,Germany,65.0,56.0,30.0
Reis,Isnairo Reis Silva Morais,68,Brazil,62.0,62.0,32.0
A. Anani,Marcellin Achille Anani,68,Côte d'Ivoire,68.0,55.0,26.0
N. Palacios,Nicolás Palacios Vidal,68,Colombia,39.0,54.0,68.0
V. Lekhal,Victor Lekhal,68,Algeria,52.0,61.0,65.0
H. Aiesh,Hosam Aiesh,68,Syria,57.0,61.0,43.0
S. Miangue,Senna Malik Miangué,68,Belgium,51.0,66.0,65.0
L. González,Leonel Hernán González,68,Argentina,43.0,56.0,66.0
S. Chakla,Soufiane Chakla Mrioued,68,Morocco,32.0,50.0,68.0
M. Wieteska,Mateusz Wieteska,68,Poland,33.0,46.0,67.0
Liu Dianzuo,刘殿座,68,China PR,,,
Zhao Honglue,赵宏略,68,China PR,35.0,56.0,63.0
L. Coyle,Lewie Coyle,68,England,45.0,60.0,63.0
M. Komenda,Marco Komenda,68,Germany,39.0,52.0,68.0
C. Humphreys-Grant,Cameron Lisceous Humphreys-Grant,68,England,32.0,48.0,68.0
S. Rouiller,Steve Rouiller,68,Switzerland,27.0,47.0,68.0
M. Dittgen,Maximilian Dittgen,68,Germany,59.0,57.0,54.0
G. Dobson,George David Dobson,68,England,54.0,64.0,65.0
Z. Vyner,Zak Vyner,68,England,35.0,56.0,67.0
P. Leeuwenburgh,Peter Leeuwenburgh,68,Netherlands,,,
S. Román,Sergio Felipe Román Palacios,68,Colombia,,,
D. Lowe,Damion Onandi Lowe,68,Jamaica,26.0,41.0,65.0
O. Mfulu,Omenuke Mfulu,68,Congo DR,54.0,60.0,66.0
F. Onyedinma,Fred Onyedinma,68,Nigeria,62.0,60.0,43.0
M. Kallesøe,Mikkel Kallesøe Andreasen,68,Denmark,55.0,59.0,61.0
J. Strauß,John-Patrick Strauß,68,Philippines,52.0,63.0,59.0
L. Mpasi,Lionel Mpasi-Nzau,68,Congo DR,,,
L. Berry,Luke David Berry,68,England,64.0,66.0,61.0
D. Granli,Daniel Fredrik Granli,68,Norway,50.0,60.0,67.0
David Goldar,David Goldar Gómez,68,Spain,41.0,58.0,66.0
D. Ball,Dominic Ball,68,England,44.0,58.0,65.0
A. Chihi,Adil Chihi,68,Morocco,63.0,65.0,30.0
J. Cárdenas,José María Cárdenas López,68,Mexico,63.0,65.0,61.0
C. Coralli,Claudio Coralli,68,Italy,67.0,54.0,30.0
M. Defendi,Marino Giovanni Defendi,68,Italy,56.0,66.0,53.0
P. Anderson,Paul Anderson,68,England,57.0,62.0,37.0
M. McGlinchey,Michael Ryan McGlinchey,68,New Zealand,67.0,62.0,43.0
Tiago Valente,Tiago Carlos Morais Valente,68,Portugal,28.0,46.0,68.0
Helder Cabral,Hélder José Vaz Cabral,68,Portugal,47.0,66.0,65.0
J. Gosso,Jean-Jacques Gosso Gosso,68,Côte d'Ivoire,46.0,60.0,69.0
Y. Tasaka,田坂 祐介,68,Japan,62.0,65.0,44.0
Lucas Silva,Lucas Antônio Silva de Oliveira,68,Brazil,67.0,65.0,58.0
Bruno China,Bruno Manuel Rodrigues Silva,68,Portugal,52.0,65.0,65.0
K. Dikgacoi,Kagisho Evidence Dikgacoi,68,South Africa,58.0,62.0,67.0
L. Kitambala,Lynel Darcy Kitambala,68,France,67.0,61.0,29.0
Y. Tigorev,Yan Tigorev,68,Belarus,28.0,55.0,70.0
C. Kouan Oulai,Christian Kouan Oulaï,68,Côte d'Ivoire,65.0,64.0,68.0
X. Mlambo,Xola Mlambo,68,South Africa,51.0,69.0,57.0
M. Tchokounté,Malik Tchokounté,68,France,66.0,51.0,24.0
P. Gibaud,Pierre Gibaud,68,France,45.0,54.0,69.0
I. Pallas,José Ignacio Pallas Martínez,68,Uruguay,39.0,54.0,67.0
T. Trevisan,Trevor Trevisan,68,Italy,43.0,47.0,68.0
D. Williams,David Joel Williams,68,Australia,69.0,56.0,42.0
S. Blondelle,Siebe Lieve Blondelle,68,Belgium,39.0,59.0,69.0
Kang Min Soo,강민수 康敏寿,68,Korea Republic,38.0,49.0,67.0
R. Wood,Richard Mark Wood,68,England,35.0,46.0,68.0
M. Đuričin,Marco Đuričin,68,Austria,68.0,55.0,26.0
B. Lambot,Benjamin Edouardo Lambot,68,Belgium,58.0,60.0,67.0
Oh Beom Seok,오범석 吴范锡,68,Korea Republic,59.0,64.0,67.0
D. Etienne Jr.,Derrick Etienne Jr.,68,Haiti,60.0,60.0,36.0
J. Wright,Jake Maxwell Wright,68,England,28.0,47.0,69.0
A. Swinkels,Arjan Swinkels,68,Netherlands,34.0,49.0,69.0
H. Lamberti,Hernán Agustín Lamberti,68,Argentina,55.0,56.0,66.0
W. Biebauw,Wouter Biebauw,68,Belgium,,,
D. Fredheim Holm,Daniel Fredheim Holm,68,Norway,66.0,66.0,48.0
G. Bucur,Gheorghe 'Gigel' Bucur,68,Romania,67.0,68.0,27.0
T. Gebauer,Thomas Gebauer,68,Germany,,,
D. Pratley,Darren Antony Pratley,68,England,68.0,64.0,63.0
M. Tchite,Mohamed Gasana Tchité,68,Rwanda,70.0,58.0,24.0
E. Miralles,Ezequiel Nicolás Miralles Sabugo,68,Argentina,70.0,64.0,39.0
K. Rindarøy,Knut Olav Rindarøy,68,Norway,52.0,59.0,66.0
Xiao Zhi,肖智,68,China PR,65.0,54.0,43.0
S. Wüthrich,Sébastien Wüthrich,68,Switzerland,63.0,66.0,48.0
D. Arreola,Daniel Arreola Argüello,68,Mexico,65.0,65.0,66.0
F. Migliore,Francesco Migliore,68,Italy,36.0,61.0,63.0
P. Larsson,Peter Larsson,68,Sweden,33.0,38.0,67.0
K. Thamsatchanan,Kawin Thamsatchanan,68,Thailand,,,
M. Orozco,Michael Orozco Fiscal,68,United States,48.0,56.0,69.0
L. Simón,Lucas García Simón,68,Argentina,70.0,43.0,31.0
Q. Othon,Quentin Othon,68,France,40.0,62.0,64.0
Iñaki Sáenz,Iñaki Sáenz Arenzana,68,Spain,54.0,63.0,63.0
M. Andersen,Magnus Andersen,68,Norway,65.0,62.0,33.0
O. Esparza,Omar Alejandro Esparza Morales,68,Mexico,52.0,64.0,66.0
J. Henao,Juan Carlos Henao Valencia,68,Colombia,,,
J. O'Hara,Jamie O'Hara,68,England,67.0,70.0,59.0
M. Little,Mark Daniel Little,68,England,35.0,59.0,63.0
Miguel Fidalgo,Nuno Miguel Fidalgo dos Santos,68,Portugal,67.0,62.0,36.0
D. de la Torre,Diego Javier De La Torre Muciño,68,Mexico,69.0,72.0,55.0
N. van der Velden,Nick van der Velden,68,Netherlands,68.0,69.0,59.0
F. van der Struijk,Frank van der Struijk,68,Netherlands,40.0,54.0,72.0
B. Ilić,Branko Ilić,68,Slovenia,53.0,64.0,73.0
M. Carlini,Massimiliano Carlini,68,Italy,60.0,66.0,19.0
Jung In Whan,정인환 郑仁焕,68,Korea Republic,36.0,48.0,69.0
Diguinho,Rodrigo Oliveira de Bittencourt,68,Brazil,60.0,66.0,66.0
F. Gamboa,Francisco Gamboa Gómez,68,Mexico,48.0,59.0,69.0
P. Flo,Per Egil Flo,68,Norway,53.0,67.0,68.0
M. Komorowski,Marcin Komorowski,68,Poland,57.0,58.0,68.0
B. Sadik,Berat Sadik,68,Finland,68.0,55.0,26.0
L. Craig,Liam Craig,68,Scotland,65.0,68.0,62.0
K. Aabech,Kim Engel Aabech,68,Denmark,68.0,68.0,31.0
T. Mikkelsen,Tobias Pilegaard Mikkelsen,68,Denmark,62.0,63.0,44.0
J. Guagua,Jorge Daniel Guagua Tamayo,68,Ecuador,43.0,52.0,66.0
Pedró,José Pedro Azevedo Ferreira,68,Portugal,56.0,70.0,40.0
L. Rosseti,Lorenzo Rosseti,68,Italy,66.0,58.0,29.0
F. Balogun,Femi Emmanuel Balogun,68,Nigeria,60.0,60.0,50.0
P. Lipski,Patryk Lipski,68,Poland,60.0,67.0,35.0
O. Hadžikić,Osman Hadžikić,68,Austria,,,
A. Martinelli,Alessandro Martinelli,68,Switzerland,46.0,63.0,61.0
R. Meara,Ryan Meara,68,United States,,,
D. De Belder,Dylan De Belder,68,Belgium,68.0,62.0,36.0
S. Mladen,Sebastian Mladen,68,Romania,51.0,57.0,68.0
A. Calello,Adrián Daniel Calello,68,Argentina,42.0,60.0,67.0
A. Harush,Ariel Harush,68,Israel,,,
Bruno Andrade,Bruno Miguel Carvalho Andrade,68,Portugal,63.0,63.0,46.0
B. Sankoh,Baïssama Sankoh,68,Guinea,35.0,58.0,70.0
Wellington,Wellington Luís De Sousa,68,Brazil,67.0,57.0,36.0
L. Daniels,Luke Daniels,68,England,,,
R. Armand,Romain Armand,68,France,69.0,56.0,22.0
Álvaro Antón,Álvaro Antón Camarero,68,Spain,62.0,73.0,43.0
C. Gómez,Christian Gustavo Gómez,68,Argentina,67.0,68.0,28.0
Juande,Juan de Dios Prados López,68,Spain,41.0,62.0,63.0
E. Shipitsin,Evgeniy Shipitsin,68,Russia,54.0,66.0,64.0
Ł. Madej,Łukasz Madej,68,Poland,61.0,64.0,39.0
A. Mannus,Alan Mannus,68,Northern Ireland,,,
M. Sağlik,Mahir Sağlık,68,Turkey,67.0,53.0,28.0
D. Krešić,Dario Krešić,68,Croatia,,,
Alberto Aguilar,Alberto Aguilar Leiva,68,Spain,49.0,55.0,67.0
A. Kay,Antony Roland Kay,68,England,54.0,55.0,67.0
J. Ogu,John Ogochukwu Ogu,68,Nigeria,61.0,60.0,64.0
É. Rivera,Édson Ulises Rivera Vargas,68,Mexico,66.0,55.0,32.0
T. Bechmann,Tommy Bechmann,68,Denmark,69.0,57.0,27.0
A. Sauthier,Anthony Sauthier,68,Switzerland,51.0,64.0,65.0
J. Carvallo,José Aurelio Carvallo Alonso,68,Peru,,,
F. Sinama-Pongolle,Florent Sinama-Pongolle,68,France,69.0,60.0,28.0
M. Cestor,Mike Botuli Cestor,68,Congo DR,25.0,46.0,66.0
A. Ouahim,Anas Ouahim,68,Morocco,56.0,61.0,36.0
R. Blanco,Ricardo Darío Blanco,68,Argentina,62.0,69.0,34.0
A. Mora,Adrián Mora Barraza,68,Mexico,29.0,45.0,69.0
K. Sidibé,Kalidou Sidibé,68,France,45.0,56.0,67.0
A. Uribe,Anthony Chelín Uribe Francia,68,Venezuela,68.0,45.0,19.0
N. Hernández,Nicolás Hernández Rodríguez,68,Colombia,21.0,50.0,66.0
S. Srnić,Slavoljub Srnić,68,Serbia,63.0,67.0,44.0
A. Elogo,Arsène Elogo Guintangui,68,Cameroon,61.0,60.0,32.0
M. Alvir,Marko Alvir,68,Croatia,62.0,69.0,48.0
J. Segre,Jacopo Segre,68,Italy,62.0,65.0,62.0
L. Osaki,大崎 玲央,68,Japan,37.0,55.0,67.0
I. Henderson,Ian Henderson,68,England,68.0,63.0,36.0
Xisco Campos,Francisco Javier Campos Coll,68,Spain,37.0,54.0,67.0
David Prieto,David Prieto Gálvez,68,Spain,46.0,47.0,69.0
F. Bechtholdt,Franco Bechtholdt Chervaz,68,Argentina,48.0,53.0,67.0
E. Coacci,Enzo Gabriel Coacci,68,Argentina,60.0,63.0,36.0
Pablo Trigueros,Pablo Trigueros Estrada,68,Spain,40.0,48.0,67.0
K. Suzuki,鈴木 孝司,68,Japan,68.0,53.0,23.0
J. Villeda,José Trinidad Villeda,68,Mexico,,,
C. Căbuz,Cătălin Vasile Căbuz,68,Romania,,,
G. Vașvari,Gabriel Cristian Vașvari,68,Romania,58.0,64.0,63.0
V. Ghiță,Virgil Eugen Ghiță,68,Romania,44.0,50.0,67.0
L. Mbe Soh,Loïc Mbe Soh,68,France,29.0,49.0,68.0
D. Hočko,Deni Hočko,68,Montenegro,50.0,66.0,61.0
W. Azaro,Walid Azarou,68,Morocco,67.0,44.0,19.0
A. Cristea,Andrei Cristea,68,Romania,69.0,63.0,42.0
S. Mba,Sunday Mba,68,Nigeria,56.0,62.0,38.0
M. Gouaida,Mohamed Gouaida,68,Tunisia,51.0,61.0,30.0
W. Arboleda,William Francisco Luis Arboleda Perea,68,Colombia,62.0,66.0,35.0
E. Mosquera,Elvis David Mosquera Valdés,68,Colombia,44.0,57.0,67.0
J. Vásquez,Jhonny Alexander Vásquez Salazar,68,Colombia,39.0,62.0,65.0
Y. Hinestroza,Yonni Fernando Hinestroza Lozano,68,Colombia,47.0,56.0,66.0
J. Pajoy,John Fredy Pajoy Ortíz,68,Colombia,62.0,62.0,27.0
É. Castañeda,Eder Castañeda Botia,68,Colombia,50.0,42.0,69.0
J. Blanco,Jonathan Matías Blanco,68,Argentina,57.0,60.0,69.0
D. Formella,Dariusz Formella,68,Poland,62.0,61.0,46.0
F. Telechea,Fernando Telechea,68,Argentina,65.0,62.0,26.0
S. Ojeda,Sergio Maximiliano Ojeda,68,Argentina,34.0,41.0,67.0
Koh Myong Jin,고명진 高明振,68,Korea Republic,65.0,69.0,42.0
B. Hamer,Ben Hamer,68,England,,,
Tiago Caeiro,Tiago David Janeiro Caeiro,68,Portugal,69.0,44.0,27.0
P. Hartley,Peter Hartley,68,England,33.0,49.0,65.0
D. Gray,David Peter Gray,68,Scotland,42.0,60.0,66.0
I. Ssewankambo,Isak Ssali Ssewankambo,68,Sweden,37.0,60.0,62.0
A. Salétros,Anton Salétros,68,Sweden,57.0,69.0,61.0
A. Vacca,Antonio Junior Vacca,68,Italy,50.0,62.0,56.0
T. Margasov,Timofey Margasov,68,Russia,33.0,57.0,69.0
O. Osawe,Osayamen Osawe,68,England,65.0,48.0,25.0
S. Kaikai,Sullay Borbor Kaikai,68,England,64.0,62.0,26.0
J. Anibaba,Jalil Anibaba,68,United States,44.0,55.0,69.0
J. Cousins,Jordan Paul Cousins,68,England,55.0,62.0,53.0
M. Agesen,Mads Agesen,68,Denmark,24.0,46.0,67.0
D. Nwakaeme,Dickson Nwakaeme,68,Nigeria,64.0,50.0,37.0
A. Iacobucci,Alessandro Iacobucci,68,Italy,,,
M. Migliorini,Marco Migliorini,68,Italy,28.0,33.0,71.0
V. Khozin,Vladimir Khozin,68,Russia,51.0,60.0,68.0
L. Đjorđjević,Luka Đjorđjević,68,Montenegro,70.0,63.0,23.0
M. Hallberg,Charles Melker Otto Hallberg,68,Sweden,62.0,67.0,55.0
José Ángel,José Ángel Alonso Martín,68,Spain,38.0,61.0,68.0
D. Malone,Dion Omar Rudchell Malone,68,Suriname,44.0,63.0,67.0
S. Cissé,Salim Cissé,68,Guinea,68.0,61.0,28.0
J. Enríquez,Jorge Enríquez García,68,Mexico,56.0,58.0,69.0
Rodnei,Rodnei Francisco de Lima,68,Brazil,48.0,55.0,66.0
H. Lybohy,Hervé Lybohy,68,Niger,26.0,44.0,67.0
Tiago Ferreira,Tiago Emanuel Canelas Almeida Ferreira,68,Portugal,35.0,50.0,67.0
A. Mățel,Alexandru Mățel,68,Romania,53.0,62.0,65.0
C. McGeehan,Cameron Alexander McGeehan,68,Northern Ireland,61.0,63.0,62.0
F. Brillant,Frédéric Brillant,68,France,33.0,49.0,68.0
B. Gorka,Benjamin Gorka,68,Germany,43.0,43.0,68.0
L. Paulussen,Laurens Paulussen,68,Belgium,55.0,60.0,65.0
F. L'Hostis,Franck L'Hostis,68,France,,,
J. Amione,Jerónimo Arturo Amione Cevallos,68,Mexico,67.0,58.0,23.0
Pau Torres,Pau Torres Riba,68,Spain,,,
A. Lisuzzo,Andrea Lisuzzo,68,Italy,29.0,47.0,68.0
I. Franjic,Ivan Franjić,68,Australia,62.0,64.0,62.0
G. Zárate,Gonzalo Eulogio Zárate,68,Argentina,64.0,63.0,30.0
J. Tshibumbu,John Tshibumbu,68,Congo DR,65.0,58.0,25.0
Edgar Hernández,Edgar Hernández Marcé,68,Spain,70.0,55.0,30.0
C. Gartner,Christian Gartner,68,Austria,54.0,66.0,63.0
D. Zanon,Damiano Zanon,68,Italy,42.0,59.0,62.0
M. Sansovini,Marco Sansovini,68,Italy,67.0,58.0,28.0
J. Shaffer,José Alberto Shaffer,68,Argentina,55.0,68.0,65.0
J. Pino,Juan Pablo Pino Puello,68,Colombia,63.0,63.0,29.0
Bobô,José Claudeon dos Santos,68,Brazil,70.0,45.0,29.0
S. Ormeño,Santiago Gabriel Ormeño Zayas,68,Peru,72.0,46.0,29.0
M. Villalobos,Manuel Arturo Villalobos Salvo,68,Chile,70.0,54.0,29.0
S. Toro,Sebastián Patricio Toro Hormazábal,68,Chile,30.0,49.0,69.0
A. Bamba,Axel Bamba,68,Côte d'Ivoire,33.0,51.0,67.0
N. Atkinson,Nathaniel Caleb Atkinson,68,Australia,46.0,61.0,61.0
J. Jacobs,Jamie Jacobs,68,Netherlands,67.0,69.0,60.0
M. Baku,Makana Rudi Baku,68,Germany,63.0,54.0,27.0
Y. Fekir,Yassin Fékir,68,France,65.0,62.0,30.0
Javi Alonso,Javier Alonso Bello,68,Spain,51.0,66.0,61.0
A. Vrenezi,Albion Vrenezi,68,Kosovo,67.0,60.0,20.0
A. Mucolli,Arbnor Muçolli,68,Albania,59.0,63.0,44.0
D. Dressel,Dennis Dressel,68,Germany,64.0,64.0,60.0
A. Yıldırım,Aygün Yıldırım,68,Germany,64.0,56.0,23.0
V. Costache,Valentin Ionuț Costache,68,Romania,63.0,61.0,30.0
G. Laura,Gaëtan Laura,68,France,65.0,51.0,24.0
Daniel Fuzato,Daniel Cerântula Fuzato,68,Brazil,,,
L. Mai,Lars Lukas Mai,68,Germany,31.0,47.0,67.0
S. Lorenz,Simon Lorenz,68,Germany,38.0,51.0,69.0
André Clóvis,André Clóvis Silva Filho,68,Brazil,67.0,56.0,25.0
E. Coronel,Emanuel Gustavo Coronel,68,Argentina,32.0,50.0,67.0
T. Blackmon,Tristan Blackmon,68,United States,42.0,59.0,64.0
O. Mbaizo,Olivier Mbaissidara Mbaizo,68,Cameroon,36.0,57.0,62.0
Diogo Cunha,Nélson Diogo Freitas Cunha,68,Portugal,64.0,71.0,43.0
D. Davari,Daniel Davari,68,Iran,,,
M. Paglialunga,Mario Ángel Paglialunga,68,Argentina,59.0,68.0,54.0
S. Kvirkvelia,Solomon Kvirkvelia,68,Georgia,30.0,36.0,71.0
J. Novota,Ján Novota,68,Slovakia,,,
J. Cabral,Jerson Cabral,68,Netherlands,64.0,56.0,32.0
M. Ibrahim,Mohamed Ibrahim,68,Egypt,64.0,69.0,35.0
L. Giovini,Lucas Raúl Giovini Schiapino,68,Argentina,,,
A. Rozzi,Antonio Rozzi,68,Italy,66.0,59.0,29.0
Pelayo,Pelayo Novo García,68,Spain,55.0,70.0,59.0
R. Philp,Ronny Philp,68,Romania,41.0,59.0,66.0
J. Dongou Tsafack,Jean-Marie Dongou Tsafack,68,Cameroon,65.0,54.0,21.0
D. Djoussé,Donald Dering Djoussé,68,Cameroon,63.0,42.0,23.0
T. Meißner,Thomas Meißner,68,Germany,38.0,44.0,67.0
L. Requena,Leandro Daniel Requena,68,Argentina,,,
Pedro Augusto,Pedro Augusto Borges da Costa,68,Brazil,43.0,61.0,66.0
Cristo Romero,Cristo Jesús Romero Gómez,68,Spain,50.0,63.0,62.0
W. Araujo,Walter Araujo,68,Paraguay,67.0,64.0,26.0
C. Larotonda,Christian Adán Larotonda Adán,68,Venezuela,61.0,62.0,66.0
C. Cruz,Christian Geovanny Cruz Tapia,68,Ecuador,58.0,64.0,64.0
J. Espinoza,Jhon Jairo Espinoza Izquierdo,68,Ecuador,40.0,57.0,65.0
Anderson Oliveira,Anderson de Oliveira da Silva,68,Brazil,60.0,60.0,29.0
T. Becker,Timo Becker,68,Germany,39.0,54.0,67.0
M. Parrales,Miguel Enrique Parrales Vera,68,Ecuador,66.0,53.0,41.0
G. Mikautadze,Georges Mikautadze,68,France,73.0,61.0,38.0
D. Ayala,Maximiliano David Ayala,68,Argentina,45.0,62.0,63.0
G. Chávez,Gianfranco Chávez Massoni,68,Peru,27.0,48.0,68.0
K. Kozłowski,Kacper Kozłowski,68,Poland,55.0,62.0,59.0
A. Quiñonez,Angel Fernando Quiñonez Guerrero,68,Ecuador,66.0,50.0,41.0
A. Tosin,Aiyegun Tosin,68,Nigeria,64.0,56.0,35.0
